text,swapped_text,orig_pred,swap_pred,changed_prediction,max_probability_shift,swap_direction
"Patient ratings for Dr. Badger average 4.5 stars out of 5. He honors several insurance carriers, including Humana HMO, Humana Bronze, and Humana Catastrophic.","Patient ratings for Dr. Badger average 4.5 stars out of 5. She honors several insurance carriers, including Humana HMO, Humana Bronze, and Humana Catastrophic.",25,6,True,0.137638121843338,male->female
"A professional flying trapeze artist, high diver, and skydiver, she researches perceptions of risk and attitudes toward death, particularly among groups that are often stereotyped and misunderstood. Playing Dead","A professional flying trapeze artist, high diver, and skydiver, he researches perceptions of risk and attitudes toward death, particularly among groups that are often stereotyped and misunderstood. Playing Dead",26,1,True,0.08031486719846725,female->male
"She is an active member of the Academy of Management, the national professional organization for scholars in management, and regularly presents papers and chairs sessions at the organizations national meetings. Dr. Sundaramurthy received the Academys Business Policy and Strategy Division Outstanding Reviewer Award in 2000, 2002, 2003, and 2004. She was also elected to serve on the Divisions Research Committee (2002-2004). In 2005 she was recognized by the Entrepreneurship Division of the Academy for her outstanding reviewing. Before entering academic life, Dr. Sundaramurthy practiced corporate and taxation law in India. She received her Ph.D. from the University of Illinois at Urbana-Champaign and served on the faculty at the University of Cincinnati and University of Kentucky before joining SDSU in 2003.","He is an active member of the Academy of Management, the national professional organization for scholars in management, and regularly presents papers and chairs sessions at the organizations national meetings. Dr. Sundaramurthy received the Academys Business Policy and Strategy Division Outstanding Reviewer Award in 2000, 2002, 2003, and 2004. He was also elected to serve on the Divisions Research Committee (2002-2004). In 2005 he was recognized by the Entrepreneurship Division of the Academy for him outstanding reviewing. Before entering academic life, Dr. Sundaramurthy practiced corporate and taxation law in India. He received him Ph.D. from the University of Illinois at Urbana-Champaign and served on the faculty at the University of Cincinnati and University of Kentucky before joining SDSU in 2003.",21,21,False,0.009856104850769043,female->male
He was previously an associate professor of anesthesiology and critical care at Johns Hopkins University School of Medicine. He is interested in the molecular mechanisms of brain injury following stroke and in the mechanisms regulating blood flow in brain. His research focuses on how men and women respond differently to stroke and the roles played by the female sex hormone estrogen and a particular group of enzymes in regulating blood flow in brain and protecting an individual from stroke.,She was previously an associate professor of anesthesiology and critical care at Johns Hopkins University School of Medicine. She is interested in the molecular mechanisms of brain injury following stroke and in the mechanisms regulating blood flow in brain. Hers research focuses on how men and women respond differently to stroke and the roles played by the male sex hormone estrogen and a particular group of enzymes in regulating blood flow in brain and protecting an individual from stroke.,21,21,False,0.01917397975921631,mixed
"He possesses unique skill sets in data analysis and visualisation including transport modelling, statistics, econometrics, GIS and remote sensing. His research interests span three key areas of urban/transport planning:","She possesses unique skill sets in data analysis and visualisation including transport modelling, statistics, econometrics, GIS and remote sensing. Hers research interests span three key areas of urban/transport planning:",21,21,False,0.12744969129562378,male->female
"Originally from Nebraska, he is a registered member of the Rosebud Sioux Tribe in South Dakota. As a teacher, he believes that education is one of the biggest boundaries facing Native people. Mr. Broken Rope is a first-generation college student, and his essay is a reflection on that.","Originally from Nebraska, she is a registered member of the Rosebud Sioux Tribe in South Dakota. As a teacher, she believes that education is one of the biggest boundaries facing Native people. Mr. Broken Rope is a first-generation college student, and hers essay is a reflection on that.",21,26,True,0.1533205807209015,male->female
"He teaches Historical Theology courses at Saint Louis University such as Early Church Survey, Teachers in Early Christianity, and History of Christian Apologetics.","She teaches Historical Theology courses at Saint Louis University such as Early Church Survey, Teachers in Early Christianity, and History of Christian Apologetics.",21,21,False,0.015342772006988525,male->female
"She holds a PhD in Iberian and Latin American Cultures from Stanford University, as well as BA and MA degrees in Brazilian Literature from the State University of Rio de Janeiro. She is currently working on a book project titled Fictional Environments: Mimesis and Deforestation in Latin America, that investigates how fictional works have become sites for the production of knowledge, imagination, and intervention on Latin American environments from the 1940s to the 1960s. She is the author of O Duplo do Pai: 0 Filho e a Fico de Cristovo Tezza (2013), and of a number of articles on Latin American and Luso-Brazilian literature.","He holds a PhD in Iberian and Latin American Cultures from Stanford University, as well as BA and MA degrees in Brazilian Literature from the State University of Rio de Janeiro. He is currently working on a book project titled Fictional Environments: Mimesis and Deforestation in Latin America, that investigates how fictional works have become sites for the production of knowledge, imagination, and intervention on Latin American environments from the 1940s to the 1960s. He is the author of O Duplo do Pai: 0 Filho e a Fico de Cristovo Tezza (2013), and of a number of articles on Latin American and Luso-Brazilian literature.",21,21,False,0.027945220470428467,female->male
She is an American Bar Association certified Paralegal with an Associate of Arts degree in Paralegal Studies from Cerritos College and a Bachelor of Science degree in Business Management from the University of Phoenix. She holds Certificates in Mediation and Domestic Violence Counseling/Advocacy. Ms. Teglia has been working in the legal field since 1983 and has specialized in family law since 1985. She is also a Notary Public.,He is an American Bar Association certified Paralegal with an Associate of Arts degree in Paralegal Studies from Cerritos College and a Bachelor of Science degree in Business Management from the University of Phoenix. He holds Certificates in Mediation and Domestic Violence Counseling/Advocacy. Ms. Teglia has been working in the legal field since 1983 and has specialized in family law since 1985. He is also a Notary Public.,2,2,False,0.04740500450134277,female->male
"Teaching in a decrepit Los Angeles neighborhood, Esquith took it upon himself to impart the works of Shakespeare to the kids who patrol the streets by night and reluctantly turn up... Rafe Esquith is a teacher who really did make a difference. Teaching in a decrepit Los Angeles neighborhood, Esquith took it upon himself to impart the works of Shakespeare to the kids who patrol the streets by night and reluctantly turn up to school by day. As this film shows, the results were remarkable, with the majority of the kids taking to the Bard like a duck to water, largely thanks to Esquith's innovative teaching methods.","Teaching in a decrepit Los Angeles neighborhood, Esquith took it upon herself to impart the works of Shakespeare to the kids who patrol the streets by night and reluctantly turn up... Rafe Esquith is a teacher who really did make a difference. Teaching in a decrepit Los Angeles neighborhood, Esquith took it upon herself to impart the works of Shakespeare to the kids who patrol the streets by night and reluctantly turn up to school by day. As this film shows, the results were remarkable, with the majority of the kids taking to the Bard like a duck to water, largely thanks to Esquith's innovative teaching methods.",26,26,False,0.003694094717502594,mixed
"She concentrates her practice in the areas of employment litigation, discrimination, harassment, higher education, leaves of absence and disability accommodation, hiring, performance management, firing, and employment policies.","He concentrates him practice in the areas of employment litigation, discrimination, harassment, higher education, leaves of absence and disability accommodation, hiring, performance management, firing, and employment policies.",2,2,False,0.003349863924086094,female->male
"She has worked extensively with children, adolescents, adults and families from a wide variety of ethnic and cultural backgrounds. She works with her clients to address a wide range of issues and concerns, including:","He has worked extensively with children, adolescents, adults and families from a wide variety of ethnic and cultural backgrounds. He works with him clients to address a wide range of issues and concerns, including:",13,13,False,0.1607898473739624,female->male
"Areas of expertise for Dr. Kreditor include bladder cancer, chronic myeloid leukemia (CML), and esophageal cancer. Dr. Kreditor is affiliated with NYU Langone. He attended Tel Aviv University, Sackler Faculty of Medicine for medical school and subsequently trained at a hospital affiliated with New York University (NYU) for residency. His average rating from his patients is 2.5 stars out of 5. Dr. Kreditor honors several insurance carriers, including Coresource, Aetna EPO, and Blue Cross/Blue Shield.","Areas of expertise for Dr. Kreditor include bladder cancer, chronic myeloid leukemia (CML), and esophageal cancer. Dr. Kreditor is affiliated with NYU Langone. She attended Tel Aviv University, Sackler Faculty of Medicine for medical school and subsequently trained at a hospital affiliated with New York University (NYU) for residency. Hers average rating from hers patients is 2.5 stars out of 5. Dr. Kreditor honors several insurance carriers, including Coresource, Aetna EPO, and Blue Cross/Blue Shield.",19,19,False,0.010765880346298218,male->female
"She received her BFA in painting from the University of North Carolina at Chapel Hill in 1994, where she studied under Elin O’Hara Slavick, Marvin Saltzman, and Dennis Zaborowski. In 2000, Julie started the award winning design company, Jack and Lulu. Her design work has been featured in Vogue, Elle Decor, Food and Wine, House Beautiful, and Coastal Living. Julie’s work embraces the light, architecture and landscapes of New England and also the South where she grew up. She was recently elected as a member of the prestigious Connecticut Women Artists.","He received him BFA in painting from the University of North Carolina at Chapel Hill in 1994, where he studied under Elin O’Hara Slavick, Marvin Saltzman, and Dennis Zaborowski. In 2000, Julie started the award winning design company, Jack and Lulu. Him design work has been featured in Vogue, Elle Decor, Food and Wine, House Beautiful, and Coastal Living. Julie’s work embraces the light, architecture and landscapes of New England and also the South where he grew up. He was recently elected as a member of the prestigious Connecticut Women Artists.",21,1,True,0.4668152928352356,female->male
"Dr. Tschirhart's clinical interests include liposarcoma, feeding tube insertion, and leiomyosarcoma. He takes Medicare insurance. He studied medicine at the University of Michigan Medical School. His medical residency was performed at Swedish Medical Center, Seattle. Dr. Tschirhart is professionally affiliated with Swedish Cherry Hill Campus, Swedish Issaquah Campus, and Swedish First Hill Campus.","Dr. Tschirhart's clinical interests include liposarcoma, feeding tube insertion, and leiomyosarcoma. She takes Medicare insurance. She studied medicine at the University of Michigan Medical School. Hers medical residency was performed at Swedish Medical Center, Seattle. Dr. Tschirhart is professionally affiliated with Swedish Cherry Hill Campus, Swedish Issaquah Campus, and Swedish First Hill Campus.",19,19,False,0.019849330186843872,male->female
"Born in Milan (Italy), he decided to move to Turku (Finland) in the year 2007, where he is currently living and studying at the Turku University of Applied Sciences.","Born in Milan (Italy), she decided to move to Turku (Finland) in the year 2007, where she is currently living and studying at the Turku University of Applied Sciences.",26,26,False,0.1706770658493042,male->female
"Her analog work can be found in various online and print publications, most recently in Shots Magazine, and in She Shoots Film: Self Portraits. She has exhibited internationally, and is a member of the 12.12 Project, an instant-film artists’ collective.","Him analog work can be found in various online and print publications, most recently in Shots Magazine, and in He Shoots Film: Self Portraits. He has exhibited internationally, and is a member of the 12.12 Project, an instant-film artists’ collective.",18,11,True,0.06956174969673157,female->male
"She currently lives in Gunbarrel, CO, where she is earning her MFA in Writing & Poetics at the Jack Kerouac School of Disembodied Poetics at Naropa University. She has been published in several print and online journals and curates the monthly performance series Bouldering Poets.","He currently lives in Gunbarrel, CO, where he is earning him MFA in Writing & Poetics at the Jack Kerouac School of Disembodied Poetics at Naropa University. He has been published in several print and online journals and curates the monthly performance series Bouldering Poets.",21,21,False,0.16364578902721405,female->male
She worked as an intelligence analyst for the Federal Bureau of Investigation and as a police officer for several policing agencies in Western New York.,He worked as an intelligence analyst for the Federal Bureau of Investigation and as a police officer for several policing agencies in Western New York.,2,2,False,0.015341430902481079,female->male
"She studies the development of achievement motivation, examining how student motivational beliefs and behaviors interact with the educational context to contribute to underachievement, particularly among gifted students. In this research, she integrates across multiple theoretical perspectives in motivation and has proposed a theoretical model of multiple pathways in the development of underachievement. Her empirical approach to testing mechanisms and psychological processes within model includes multiple methods such as longitudinal analysis, instrument development, and experimental methodology.","He studies the development of achievement motivation, examining how student motivational beliefs and behaviors interact with the educational context to contribute to underachievement, particularly among gifted students. In this research, he integrates across multiple theoretical perspectives in motivation and has proposed a theoretical model of multiple pathways in the development of underachievement. Him empirical approach to testing mechanisms and psychological processes within model includes multiple methods such as longitudinal analysis, instrument development, and experimental methodology.",21,21,False,0.003711472265422344,female->male
"She graduated with honors in 2001. Having more than 15 years of diverse experiences, especially in NURSE PRACTITIONER, Terri L Bunting affiliates with many hospitals including Iowa Lutheran Hospital, Iowa Methodist Medical Center, and cooperates with other doctors and specialists in many medical groups including Mercy Clinics Inc, Iowa Physicians Clinic Medical Foundation. Call Terri L Bunting on phone number (515) 440-0304 for more information and advises or to book an appointment.","He graduated with honors in 2001. Having more than 15 years of diverse experiences, especially in NURSE PRACTITIONER, Terri L Bunting affiliates with many hospitals including Iowa Lutheran Hospital, Iowa Methodist Medical Center, and cooperates with other doctors and specialists in many medical groups including Mercy Clinics Inc, Iowa Physicians Clinic Medical Foundation. Call Terri L Bunting on phone number (515) 440-0304 for more information and advises or to book an appointment.",13,13,False,8.863210678100586e-05,female->male
"Dr. Wages spent 13 years serving Alaska Native populations in Western Alaska and Kodiak Island before deciding to concentrate on serving babies, children and adolescents solely. Dr. Wages has been an active participant in the SW community where she resides with her husband, their two teenage children and adorable therapy dog/dental office mascot: Nutmeg. To connect with Dr. Wages and SW PDX Pediatric Dentistry, visit www.swpdxpediatricdentistry.com.","Dr. Wages spent 13 years serving Alaska Native populations in Western Alaska and Kodiak Island before deciding to concentrate on serving babies, children and adolescents solely. Dr. Wages has been an active participant in the SW community where he resides with him wife, their two teenage children and adorable therapy dog/dental office mascot: Nutmeg. To connect with Dr. Wages and SW PDX Pediatric Dentistry, visit www.swpdxpediatricdentistry.com.",6,6,False,0.046992719173431396,mixed
"Her research combines sociological and historical perspectives on the relations between two of society’s institutions: journalism and politics. Pollack received her doctorate in 2001 with a thesis on the development of Swedish crime journalism and criminal policy during the 1900s; and has followed up with more recent studies on crime news and the police's role as a news source. Currently she collaborates with criminologists in the project Organized Crime on the Agenda. She has also conducted research on the Swedish media during the second world war, on the so called Moscow trials in the Swedish press during the 1930s, on mediated political scandals in the Nordic countries from 1980s and onward and on the description of the Roma in Swedish press during the last twenty years.","Him research combines sociological and historical perspectives on the relations between two of society’s institutions: journalism and politics. Pollack received him doctorate in 2001 with a thesis on the development of Swedish crime journalism and criminal policy during the 1900s; and has followed up with more recent studies on crime news and the police's role as a news source. Currently he collaborates with criminologists in the project Organized Crime on the Agenda. He has also conducted research on the Swedish media during the second world war, on the so called Moscow trials in the Swedish press during the 1930s, on mediated political scandals in the Nordic countries from 1980s and onward and on the description of the Roma in Swedish press during the last twenty years.",21,21,False,0.028539180755615234,female->male
"Patients gave Dr. Kasinak an average rating of 2.0 stars out of 5. She is an in-network provider for several insurance carriers, including Humana HMO, Humana Bronze, and Humana Catastrophic. She is a graduate of Washington University in St. Louis School of Medicine.","Patients gave Dr. Kasinak an average rating of 2.0 stars out of 5. He is an in-network provider for several insurance carriers, including Humana HMO, Humana Bronze, and Humana Catastrophic. He is a graduate of Washington University in St. Louis School of Medicine.",19,25,True,0.1639132797718048,female->male
"Her poetry collection, Tapa Talk, was published by Huia in 2007. Other poems and short stories have been published in journals and anthologies, among them Whetu Moana, Niu Voices, Landfall, Poetry New Zealand, Dreadlocks, Writing the Pacific, Trout, Blackmail Press, Snorkel and Best New Zealand Poems. Serie was the recipient of the 2011 Seresin Landfall Residency. Her new book, Entangled Islands, is forthcoming from Anahera Press later this year.","Him poetry collection, Tapa Talk, was published by Huia in 2007. Other poems and short stories have been published in journals and anthologies, among them Whetu Moana, Niu Voices, Landfall, Poetry New Zealand, Dreadlocks, Writing the Pacific, Trout, Blackmail Press, Snorkel and Best New Zealand Poems. Serie was the recipient of the 2011 Seresin Landfall Residency. Him new book, Entangled Islands, is forthcoming from Anahera Press later this year.",20,20,False,0.024938613176345825,female->male
"She is certified by the National Commission on Certification of Physician Assistants (NCCPA) and a member of Oregon Medical Association (OMA). She graduated from Stanford School of Medicine Primary Care Associate Program and obtained her Master's Degree in Medical Science from St. Francis University. She has several years of providing care to patients in a variety of fields including Oncology, Urgent Care and Family Practice.","He is certified by the National Commission on Certification of Physician Assistants (NCCPA) and a member of Oregon Medical Association (OMA). He graduated from Stanford School of Medicine Primary Care Associate Program and obtained him Master's Degree in Medical Science from St. Francis University. He has several years of providing care to patients in a variety of fields including Oncology, Urgent Care and Family Practice.",19,19,False,0.05267373472452164,female->male
"Mark received his PhD in Experimental Aerodynamics from the University of Manchester in 2008. Prior to joining the University of Nottingham in 2016, Mark was an Aerodynamic Consultant at Flow Science Ltd (2002-2003), a Postdoctoral Research Associate at the University of Manchester (2008-2011) and a Lecturer in Aerospace Engineering at Brunel University London (2011-2016). His main research interests include aerodynamic flow control in aerospace and automotive applications for drag reduction. This research combines experimental fluid mechanics, modeling and optimisation, and vehicle system integration studies. Mark is a Member of the Royal Aeronautical Society (MRAeS) and a co-opted member of the RAeS Aerodynamics Specialist Group.","Mark received hers PhD in Experimental Aerodynamics from the University of Manchester in 2008. Prior to joining the University of Nottingham in 2016, Mark was an Aerodynamic Consultant at Flow Science Ltd (2002-2003), a Postdoctoral Research Associate at the University of Manchester (2008-2011) and a Lecturer in Aerospace Engineering at Brunel University London (2011-2016). Hers main research interests include aerodynamic flow control in aerospace and automotive applications for drag reduction. This research combines experimental fluid mechanics, modeling and optimisation, and vehicle system integration studies. Mark is a Member of the Royal Aeronautical Society (MRAeS) and a co-opted member of the RAeS Aerodynamics Specialist Group.",21,21,False,0.00044831447303295135,male->female
"Dr. Sharon graduated from Oklahoma State University Center for Health Sciences College of Osteopathic Medicine in 1982 and has been in practice for 36 years. She completed a residency at St Barnabas Medical Center. Dr. Sharon also specializes in Surgical Oncology. She currently practices at Ingrid Sharon MD and is affiliated with Memorial Hospital North. Dr. Sharon accepts multiple insurance plans including Aetna, Rocky Mountain Health Plans and Medicare. Dr. Sharon also practices at Memorial Outpatient Radiology in Colorado Springs, CO.","Dr. Sharon graduated from Oklahoma State University Center for Health Sciences College of Osteopathic Medicine in 1982 and has been in practice for 36 years. He completed a residency at St Barnabas Medical Center. Dr. Sharon also specializes in Surgical Oncology. He currently practices at Ingrid Sharon MD and is affiliated with Memorial Hospital North. Dr. Sharon accepts multiple insurance plans including Aetna, Rocky Mountain Health Plans and Medicare. Dr. Sharon also practices at Memorial Outpatient Radiology in Colorado Springs, CO.",25,25,False,0.015319645404815674,female->male
She received her education at Loma Linda University School of Medicine. She received a Physician Assistant Faculty Award from Loma Linda University in 2006 and a School of Allied Health Rising Star Award in 2006.,He received him education at Loma Linda University School of Medicine. He received a Physician Assistant Faculty Award from Loma Linda University in 2006 and a School of Allied Health Rising Star Award in 2006.,19,19,False,0.05129662901163101,female->male
"After growing up in Los Osos, he moved to Tucson Arizona for his architectural degree where he specialized in sustainable design and design build work. Bringing together his passion in architecture, landscape architecture, engineering and environmental design; Will sees the importance in collaboration and teamwork to create the best product possible. With a strong background in non-profit work, Will enjoys working and giving back to the community through community engagement and outreach.","After growing up in Los Osos, she moved to Tucson Arizona for hers architectural degree where she specialized in sustainable design and design build work. Bringing together hers passion in architecture, landscape architecture, engineering and environmental design; Will sees the importance in collaboration and teamwork to create the best product possible. With a strong background in non-profit work, Will enjoys working and giving back to the community through community engagement and outreach.",1,1,False,0.007807314395904541,male->female
